Feature,Importance
fare_amount,0.3498958253046681
payment_type_index,0.24911036549305204
trip_distance,0.23348227610631525
trip_duration,0.14444672003479422
PULocationID,0.009649682405822667
pickup_hour,0.007531431233660612
DOLocationID,0.0031445584775630655
passenger_count,0.0012502062980455611
is_weekend,0.0011340836845040276
pickup_day,0.0003548509615744433
