Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.8799200894237401,0.8723633424879021,0.8799200894237401,0.8679017279653172,0.9295210829180872
Decision Tree,0.9307084928770186,0.9319644117061625,0.9307084928770186,0.9312549754709596,0.8557580507782255
Random Forest,0.9305340848732767,0.9315019770600997,0.9305340848732768,0.9309674141159431,0.9555842605057006
GBT,0.93135063143625,0.9322735230479102,0.9313506314362499,0.9317646902741765,0.9584074388747971
